355e65625b88::0f8da977d9edf5c6deb0ce2b064e3b54,"[""Heikkilä, Pirjo"",""Pasanen, Antti"",""Putkonen, Matti"",""Vähä-Nissi, Mika""]"
355e65625b88::f7049d491ba1d9c5377e1149f98550e2,"[""Liinasuo, Marja"",""Lastusilta, Toni"",""Savolainen, Jouni"",""Kuula, Timo""]"
355e65625b88::fc71811e620027d430a3eeef55dd4910,"Brace, William"
RECOLECTA___::15802d9ca935ac95ebb5b673ec4f8e27,"[""Sbragaglia, Valerio"",""Correia, Ricardo A."",""Di Minin, Enrico""]"
RECOLECTA___::2bbf03751bfb1e0c3f203089a076ae0e,"[""Lucas Gutiérrez, Marta"",""Pérez-Álvarez, Ana"",""Garay-Arroyo, Adriana"",""Colmenero Flores, José M."",""Rosales Villegas, Miguel Á.""]"
RECOLECTA___::b3b3c3d5cfe346849bde8cd8de557837,"[""Adams, Nick"",""Allacker, Karen"",""MIRACLE Project ID: 964450""]"
RECOLECTA___::c45ce696ff854c291b16a0b96f3f29fc,"[""Gallego, Rocío"",""Valdés, Alberto"",""Suárez Montenegro, Zully J."",""Sánchez-Martínez, J. David"",""Cifuentes, Alejandro"",""Ibáñez, Elena"",""Herrero, Miguel""]"
acm_________::ebc3169543794dbd65e1e09fedb35b1b,"[""Pierre Leone"",""Elad Schiller""]"
arXiv_______::10cdcc9a7841accedda7a839fafc821d,"[""Moiseeva, A."",""Vladimirov, A. A.""]"
arXiv_______::1fd33eef9fabc46a3ccea5cc552f2e08,"[""Kochelev, N. I."",""Vento, V.""]"
arXiv_______::3e11afbbb8982990b2f5aea05374578a,"[""Saadatmand, Danial"",""Dmitriev, Sergey V."",""Borisov, Denis I."",""Kevrekidis, Panayotis G."",""Fatykhov, Minnekhan A."",""Javidan, Kurosh""]"
arXiv_______::43e0a130447191b318ba5c80efd50a5d,"[""Seib, Florian"",""Stannat, Wilhelm"",""Tölle, Jonas M.""]"
arXiv_______::508794199f7d96cc1a35dc5da1c23973,"[""Albaladejo, M."",""Moussallam, B.""]"
arXiv_______::52ecf3eefa0405321b2ce4c3b74cc8df,"[""Khristenko, Ustim"",""Scarabosio, Laura"",""Swierczynski, Piotr"",""Ullmann, Elisabeth"",""Wohlmuth, Barbara""]"
arXiv_______::549f2fce79f98649ebbd4b3cece3666f,"[""Ruotsalainen, P."",""Jenkins, D. G."",""Bentley, M. A."",""Auranen, K."",""Davies, P. J."",""Grahn, T."",""Greenlees, P. T."",""Henderson, J."",""Herzáň, A."",""Jakobsson, U."",""Joshi, P."",""Julin, R."",""Juutinen, S."",""Konki, J."",""Leino, M."",""Lotay, G."",""Nichols, A. J."",""Obertelli, A."",""Pakarinen, J."",""Partanen, J."",""Peura, P."",""Rahkila, P."",""Sandzelius, M."",""Sarén, J."",""Scholey, C."",""Sorri, J."",""Stolze, S."",""Uusitalo, J."",""Wadsworth, R.""]"
