doi_dedup___::cf03ebd8802f4e4806a152307f6351ce,doi_________::d461a9a9c549caf48fd078f7f3164cd2,1
doi_dedup___::1a78152e815853fb57c7e6c6d21236c2,"[""doi_________::fb516ad392672a625a49a3490936514e"",""doi_dedup___::539cfed62275df2903160570b9d3fb08""]",2
doi_dedup___::f0124ce5dc8a0b88eac7568ff8d1fcfd,,1
doi_dedup___::c5b4982a1d6f2b4693666d9063fde72f,,1
doi_dedup___::5c40236eb2b7ee0940c63793ae177b81,"[""pmid________::23bf0890a7443e4211064389c1b792ed"",""pmid________::23bf0890a7443e4211064389c1b792ed"",""doi_dedup___::21afa4545e58761e364578cf50bb2dba"",""doi_dedup___::21afa4545e58761e364578cf50bb2dba"",""pmid________::2412073ecada51f639a2a3c973c5a756"",""pmid________::2412073ecada51f639a2a3c973c5a756"",""pmid________::0c6182441ab0d26e66ca3468d2f57ee9"",""pmid________::0c6182441ab0d26e66ca3468d2f57ee9"",""pmid________::a3cca08d6345a0dc23db291ff6bff04e"",""pmid________::a3cca08d6345a0dc23db291ff6bff04e"",""pmid________::c757b07a64cd3491651ccbdc49b1b0ea"",""pmid________::c757b07a64cd3491651ccbdc49b1b0ea"",""doi_dedup___::91f4454e433cee8f7964a76d9a9a3393"",""doi_dedup___::91f4454e433cee8f7964a76d9a9a3393"",""pmid________::e86a90fc27b0b3263932bd5292effba2"",""pmid________::e86a90fc27b0b3263932bd5292effba2""]",16
doi_dedup___::2eba54d7176f673a11c871538c675c81,"[""doi_dedup___::ac26fbf71f9d4efefbd1115e7522b12c"",""doi_dedup___::ac26fbf71f9d4efefbd1115e7522b12c"",""doi_dedup___::ac26fbf71f9d4efefbd1115e7522b12c"",""doi_dedup___::b2562f5fbcc428c0aaf7338bbba4a336"",""doi_dedup___::b2562f5fbcc428c0aaf7338bbba4a336"",""doi_dedup___::b2562f5fbcc428c0aaf7338bbba4a336"",""doi_________::0a1599f23f73137351f1b99c64884867"",""doi_________::0a1599f23f73137351f1b99c64884867"",""doi_________::0a1599f23f73137351f1b99c64884867"",""doi_dedup___::2c75fc2e38f33eb3ffc7bdca1d3d5a32"",""doi_dedup___::2c75fc2e38f33eb3ffc7bdca1d3d5a32"",""doi_dedup___::2c75fc2e38f33eb3ffc7bdca1d3d5a32"",""doi_dedup___::98c7be1d351b31724adc6d8df88575aa"",""doi_dedup___::98c7be1d351b31724adc6d8df88575aa"",""doi_dedup___::98c7be1d351b31724adc6d8df88575aa"",""doi_dedup___::89bb046ed6575d709c6f8e69192744a0"",""doi_dedup___::89bb046ed6575d709c6f8e69192744a0"",""doi_dedup___::89bb046ed6575d709c6f8e69192744a0"",""doi_dedup___::00739c03d641cf19218edb7085bea953"",""doi_dedup___::00739c03d641cf19218edb7085bea953"",""doi_dedup___::00739c03d641cf19218edb7085bea953"",""doi_dedup___::1debf11616668eb1cc0c92858ddd8b19"",""doi_dedup___::1debf11616668eb1cc0c92858ddd8b19"",""doi_dedup___::1debf11616668eb1cc0c92858ddd8b19"",""doi_dedup___::4032eb8e5f8110fb5a89eaaa548ca66e"",""doi_dedup___::4032eb8e5f8110fb5a89eaaa548ca66e"",""doi_dedup___::4032eb8e5f8110fb5a89eaaa548ca66e"",""doi_dedup___::c9353bce1748ff84a73280116872c1bb"",""doi_dedup___::c9353bce1748ff84a73280116872c1bb"",""doi_dedup___::c9353bce1748ff84a73280116872c1bb"",""doi_dedup___::5660ac55f342a36c5f8f2e92b7c3001c"",""doi_dedup___::5660ac55f342a36c5f8f2e92b7c3001c"",""doi_dedup___::5660ac55f342a36c5f8f2e92b7c3001c"",""doi_dedup___::db9742a0d853dc75999ae7857948e9cc"",""doi_dedup___::db9742a0d853dc75999ae7857948e9cc"",""doi_dedup___::db9742a0d853dc75999ae7857948e9cc"",""doi_dedup___::b73020a10095059fab4c24ffeb67adac"",""doi_dedup___::b73020a10095059fab4c24ffeb67adac"",""doi_dedup___::b73020a10095059fab4c24ffeb67adac"",""doi_________::8ff3f4e9e1fb9211254217d662e90ecf"",""doi_________::8ff3f4e9e1fb9211254217d662e90ecf"",""doi_________::8ff3f4e9e1fb9211254217d662e90ecf"",""doi_dedup___::c5042ab54b6c402861c7fa50c1e2e766"",""doi_dedup___::c5042ab54b6c402861c7fa50c1e2e766"",""doi_dedup___::c5042ab54b6c402861c7fa50c1e2e766"",""doi_dedup___::17ad062892d9e3f6bf1ffb093193a42f"",""doi_dedup___::17ad062892d9e3f6bf1ffb093193a42f"",""doi_dedup___::17ad062892d9e3f6bf1ffb093193a42f"",""doi_dedup___::7aa2ef8c715863146428b730ad4b2653"",""doi_dedup___::7aa2ef8c715863146428b730ad4b2653"",""doi_dedup___::7aa2ef8c715863146428b730ad4b2653"",""doi_dedup___::041b0426a31062c408d61ea7ff3babe0"",""doi_dedup___::041b0426a31062c408d61ea7ff3babe0"",""doi_dedup___::041b0426a31062c408d61ea7ff3babe0"",""doi_dedup___::cf592035f59b630cddc6441c21279aaa"",""doi_dedup___::cf592035f59b630cddc6441c21279aaa"",""doi_dedup___::cf592035f59b630cddc6441c21279aaa"",""doi_dedup___::980c6fe27ac30c7e86d061af2d9560c3"",""doi_dedup___::980c6fe27ac30c7e86d061af2d9560c3"",""doi_dedup___::980c6fe27ac30c7e86d061af2d9560c3"",""doi_dedup___::ac19a6eaac7770e8dec332047e66149d"",""doi_dedup___::ac19a6eaac7770e8dec332047e66149d"",""doi_dedup___::ac19a6eaac7770e8dec332047e66149d""]",63
doi_dedup___::7b54e778ac254e9889570c54bd33bdf8,"[""pmid_dedup__::dbcad2ca849ab662be398725e93f14d0"",""pmid_dedup__::dbcad2ca849ab662be398725e93f14d0"",""doi_dedup___::19ec5270436e6d91184c158ad27abc78"",""doi_dedup___::19ec5270436e6d91184c158ad27abc78"",""doi_dedup___::aedc5220d99249dcbe9d19285e05d0af"",""doi_dedup___::aedc5220d99249dcbe9d19285e05d0af"",""doi_dedup___::f8e6ea3268be864a0000fb2349a6d732"",""doi_dedup___::f8e6ea3268be864a0000fb2349a6d732"",""pmid________::22a4bc05b7da1d84fb84f564fd9ad0f0"",""pmid________::22a4bc05b7da1d84fb84f564fd9ad0f0"",""doi_dedup___::84f092facb2643b22a142af6e653b76c"",""doi_dedup___::84f092facb2643b22a142af6e653b76c"",""doi_dedup___::9b4456489301267126c573b8f454270f"",""doi_dedup___::9b4456489301267126c573b8f454270f"",""doi_dedup___::101d4ec80bcb964d5eef404ab22b318d"",""doi_dedup___::101d4ec80bcb964d5eef404ab22b318d"",""doi_dedup___::72834ef6539609d45a2f595cb81835c5"",""doi_dedup___::72834ef6539609d45a2f595cb81835c5"",""doi_dedup___::202cafaae738fa954215e8fc21078c47"",""doi_dedup___::202cafaae738fa954215e8fc21078c47""]",20
doi_dedup___::0e3b55231d812dd6971d521d0e8d2fb9,"[""doi_dedup___::1d66ac9c26b8bf754d663a59a9af8bc1"",""doi_dedup___::72ab546a01b0a5cf0a1374e8e925754c"",""doi_dedup___::9691ee1e3612be6d55ee3a88c6e266f0"",""doi_dedup___::51d713253b1934514d959e18b5d2f5e8""]",4
doi_dedup___::049939c5e5da3717f7cd691b5f224db0,doi_dedup___::c320f57dfd08a3ddb8fb807a7e5f98d5,1
doi_dedup___::16f13cc712a6b44c43dd1ea9f827cf2b,,1
