doi_dedup___::fcded9cee4397b251341328f1829f26c,"A search for diphoton events with large missing transverse energy is presented. The data were collected with the ATLAS detector in proton-proton collisions at √s=7  TeV at the CERN Large Hadron Collider and correspond to an integrated luminosity of 3.1  pb−1. No excess of such events is observed above the standard model background prediction. In the context of a specific model with one universal extra dimension with compactification radius R and gravity-induced decays, values of 1/R<729  GeV are excluded at 95% C. L., providing the most sensitive limit on this model to date."
r3c4b2081b22::c3a580375e3430d9f7b7be217e9704df,null
dedup_wf_001::98bbec33e33667180755feab7560a058,"This Letter presents a search for tb resonances in 1.04  fb−1 of LHC proton-proton collision data collected by the ATLAS detector at a center-of-mass energy of 7 TeV. Events with a lepton, missing transverse momentum, and two jets are selected and the invariant mass of the corresponding final state is reconstructed. The search exploits the shape of the tb invariant mass distribution compared to the expected standard model backgrounds. The model of a right-handed W′R with standard model-like couplings is chosen as the benchmark model for this search. No statistically significant excess of events is observed in the data, and upper limits on the cross section times the branching ratio of W′R resonances at 95% C.L. lie in the range of 6.1–1.0 pb for W′R masses ranging from 0.5 to 2.0 TeV. These limits are translated into a lower bound on the allowed right-handed W′R mass, giving mW′R>1.13  TeV at 95% C.L."
doi_dedup___::9ebae9894ce064c61aa171690b1cf6ff,"Now that conventional weakly interacting massive particle (WIMP) dark matter searches are approaching the neutrino floor, there has been a resurgence of interest in detectors with sensitivity to nuclear recoil directions. A large-scale directional detector is attractive in that it would have sensitivity below the neutrino floor, be capable of unambiguously establishing the galactic origin of a purported dark matter signal, and could serve a dual purpose as a neutrino observatory. We present the first detailed analysis of a 1000 m$^3$-scale detector capable of measuring a directional nuclear recoil signal at low energies. We propose a modular and multi-site observatory consisting of time projection chambers (TPCs) filled with helium and SF$_6$ at atmospheric pressure. Depending on the TPC readout technology, 10-20 helium recoils above 6 keVr or only 3-4 recoils above 20 keVr would suffice to distinguish a 10 GeV WIMP signal from the solar neutrino background. High-resolution charge readout also enables powerful electron background rejection capabilities well below 10 keV. We detail background and site requirements at the 1000 m$^3$-scale, and identify materials that require improved radiopurity. The final experiment, which we name CYGNUS-1000, will be able to observe 10-40 neutrinos from the Sun, depending on the final energy threshold. With the same exposure, the sensitivity to spin independent cross sections will extend into presently unexplored sub-10 GeV parameter space. For spin dependent interactions, already a 10 m$^3$-scale experiment could compete with upcoming generation-two detectors, but CYGNUS-1000 would improve upon this considerably. Larger volumes would bring sensitivity to neutrinos from an even wider range of sources, including galactic supernovae, nuclear reactors, and geological processes."
doi_dedup___::47577e1b7cac378005f61c28a08f043e,"The 2011 Les Houches workshop was the first to confront LHC data. In the two years since the previous workshop there have been significant advances in both soft and hard QCD, particularly in the areas of multi-leg NLO calculations, the inclusion of those NLO calculations into parton shower Monte Carlos, and the tuning of the non-perturbative parameters of those Monte Carlos. These proceedings describe the theoretical advances that have taken place, the impact of the early LHC data, and the areas for future development."
doi_dedup___::a4cbe26286879472036ce9d96f7aca90,"A data tree is a finite tree whose every node carries a label from a finite alphabet and a datum from some infinite domain. We introduce a new model of automata over unranked data trees with a decidable emptiness problem. It is essentially a bottom-up alternating automaton with one register that can store one data value and can be used to perform equality tests with the data values occurring within the subtree of the current node. We show that it captures the expressive power of the vertical fragment of XPath - containing the child, descendant, parent and ancestor axes - obtaining thus a decision procedure for its satisfiability problem."
doi_dedup___::f3a91b7767a6c0fd416a5e4e0d2f9310,"We construct a contour function for the entanglement entropies in generic harmonic lattices. In one spatial dimension, numerical analysis are performed by considering harmonic chains with either periodic or Dirichlet boundary conditions. In the massless regime and for some configurations where the subsystem is a single interval, the numerical results for the contour function are compared to the inverse of the local weight function which multiplies the energy-momentum tensor in the corresponding entanglement hamiltonian, found through conformal field theory methods, and a good agreement is observed. A numerical analysis of the contour function for the entanglement entropy is performed also in a massless harmonic chain for a subsystem made by two disjoint intervals."
doi_dedup___::f634ff21d513674c90db6a9714bac6ba,"We present results on the nucleon axial form factors within lattice QCD using two flavors of degenerate twisted mass fermions. Volume effects are examined using simulations at two volumes of spatial length $L=2.1$ fm and $L=2.8$ fm. Cut-off effects are investigated using three different values of the lattice spacings, namely $a=0.089$ fm, $a=0.070$ fm and $a=0.056$ fm. The nucleon axial charge is obtained in the continuum limit and chirally extrapolated to the physical pion mass enabling comparison with experiment."
od_______150::7bc7f13faff59e87acea8561c4b34e52,"We study the role of geography in R&D networks by means of a quantitative, micro-geographic approach. Using a large database that covers international R&D collaborations from 1984 to 2009, we localize each actor precisely in space through its latitude and longitude. This allows us to analyze the R&D network at all geographic scales simultaneously. Our empirical results show that despite the high importance of the city level, transnational R&D collaborations at large distances are much more frequent than expected from similar networks. This provides evidence for the ambiguity of distance in economic cooperation which is also suggested by the existing literature. In addition we test whether the hypothesis of local buzz and global pipelines applies to the observed R&D network by calculating well-defined metrics from network theory."
doi_dedup___::b695bebb90877846f2a341c522662a01,"HESS J1943+213, a TeV point source close to the Galactic plane recently discovered by the H.E.S.S. collaboration, was proposed to be an extreme BL Lacertae object, though a pulsar wind nebula (PWN) nature could not be completely discarded. To investigate its nature, we performed high-resolution radio observations with the European Very Long Baseline Interferometry Network (EVN) and reanalyzed archival continuum and H {\\sc i} data. The EVN observations revealed a compact radio counterpart of the TeV source. The low brightness temperature and the resolved nature of the radio source are indications against the beamed BL Lacertae hypothesis. The radio/X-ray source appears immersed in a $\\sim$ 1\\arcmin elliptical feature suggesting a possible galactic origin (PWN nature) for the HESS source. We found that HESS\\,J1943+213 is located in the interior of a $\\sim1\\degr$ diameter H {\\sc i} feature, and explored the possibility of they being physically related."
doi_dedup___::7f2ff8371e7b8fa50b1eaa23f6409d6c,"Cross-sectional scanning tunneling microscopy (X-STM) is used to experimentally study the influence of isovalent Bi atoms on the electronic structure of InP. We map the spatial pattern of the Bi impurity state, which originates from Bi atoms down to the sixth layer below the surface, in topographic, filled state X-STM images on the natural $\\{110\\}$ cleavage planes. The Bi impurity state has a highly anisotropic bowtie-like structure and extends over several lattice sites. These Bi-induced charge redistributions extend along the $\\left\\langle 110\\right\\rangle$ directions, which define the bowtie-like structures we observe. Local tight-binding calculations reproduce the experimentally observed spatial structure of the Bi impurity state. In addition, the influence of the Bi atoms on the electronic structure is investigated in scanning tunneling spectroscopy measurements. These measurements show that Bi induces a resonant state in the valence band, which shifts the band edge towards higher energies. This is in good agreement to first principles calculations. Furthermore, we show that the energetic position of the Bi induced resonance and its influence on the onset of the valence band edge depend crucially on the position of the Bi atoms relative to the cleavage plane."
doi_dedup___::b5c3a1282828b89302a5966a7716ae9c,"Autonomous sorting is a crucial task in industrial robotics which can be very challenging depending on the expected amount of automation. Usually, to decide where to sort an object, the system needs to solve either an instance retrieval (known object) or a supervised classification (predefined set of classes) problem. In this paper, we introduce a new decision making module, where the robotic system chooses how to sort the objects in an unsupervised way. We call this problem Unsupervised Robotic Sorting (URS) and propose an implementation on an industrial robotic system, using deep CNN feature extraction and standard clustering algorithms. We carry out extensive experiments on various standard datasets to demonstrate the efficiency of the proposed image clustering pipeline. To evaluate the robustness of our URS implementation, we also introduce a complex real world dataset containing images of objects under various background and lighting conditions. This dataset is used to fine tune the design choices (CNN and clustering algorithm) for URS. Finally, we propose a method combining our pipeline with ensemble clustering to use multiple images of each object. This redundancy of information about the objects is shown to increase the clustering results."
doi_dedup___::98aa19ffac9853ca43711aa0c544bfc0,"The ATLAS detector at the LHC is used to search for high-mass states, such as heavy charged gauge bosons (W′), decaying to a charged lepton (electron or muon) and a neutrino. Results are presented based on the analysis of pp collisions at a center-of-mass energy of 7  TeV corresponding to an integrated luminosity of 4.7 fb[superscript −1]. No excess beyond Standard Model expectations is observed. A W′ with Sequential Standard Model couplings is excluded at the 95 % credibility level for masses up to 2.55  TeV. Excited chiral bosons (W[superscript ∗]) with equivalent coupling strength are excluded for masses up to 2.42  TeV."
doi_dedup___::fbb11d7c06c7e9eb325dd2081a59ccf1,"We present a novel full-waveform inversion (FWI) approach which can reduce the computational cost by up to an order of magnitude compared to conventional approaches, provided that variations in medium properties are sufficiently smooth. Our method is based on the usage of wavefield adapted meshes which accelerate the forward and adjoint wavefield simulations. By adapting the mesh to the expected complexity and smoothness of the wavefield, the number of elements needed to discretize the wave equation can be greatly reduced. This leads to spectral-element meshes which are optimally tailored to source locations and medium complexity. We demonstrate a workflow which opens up the possibility to use these meshes in FWI and show the computational advantages of the approach. We provide examples in 2-D and 3-D to illustrate the concept, describe how the new workflow deviates from the standard FWI workflow, and explain the additional steps in detail."
doi_dedup___::1f2edf770381a4b37437980d062d83ff,"This paper investigates the spectral efficiency (SE) of multi-cell Massive Multi-Input Multi-Output (MIMO) using different channel models. Prior works have derived closed-form SE bounds and approximations for Gaussian distributed channels, while we consider the double scattering model-a prime example of a non-Gaussian channel for which it is intractable to obtain closed form SE expressions. The channels are estimated using limited resources, which gives rise to pilot contamination, and the estimates are used for linear detection and to compute the SE numerically. Analytical and numerical examples are used to describe the key behaviors of the double scattering models, which differ from conventional Massive MIMO models. Finally, we provide multi-cell simulation results that compare the double scattering model with uncorrelated Rayleigh fading and explain under what conditions we can expect to achieve similar SEs."
doi_dedup___::f7d371872e470d8c4de3c7c941819665,"The X-ray transient MAXI J1836-194 is a newly-identified Galactic black hole binary candidate. As most X-ray transients, it was discovered at the beginning of an X-ray outburst. After the initial canonical X-ray hard state, the outburst evolved into a hard intermediate state and then went back to the hard state. The existing RATAN-600 radio monitoring observations revealed that it was variable on a timescale of days and had a flat or inverted spectrum, consistent with optically thick synchrotron emission, possibly from a self-absorbed jet in the vicinity of the central compact object. We observed the transient in the hard state near the end of the X-ray outburst with the European VLBI Network (EVN) at 5 GHz and the Chinese VLBI Network (CVN) at 2.3 and 8.3 GHz. The 8.3 GHz observations were carried out at a recording rate of 2048 Mbps using the newly-developed Chinese VLBI data acquisition system (CDAS), twice higher than the recording rate used in the other observations. We successfully detected the low-declination source with a high confidence level in both observations. The source was unresolved (&lt;=0.5 mas), which is in agreement with an AU-scale compact jet."
